type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-12 22:56:44,50.84749450,5.70346360,6,84.065,,0.000,,23,25,20210112-235627,GPS Logger: 20210112-235627
T,2021-01-12 22:56:58,50.84749755,5.70344381,6,80.782,,0.000,,24,27,,
T,2021-01-12 22:56:59,50.84749755,5.70344381,6,80.785,,0.000,,25,27,,
T,2021-01-12 22:57:00,50.84749277,5.70346881,6,80.827,,0.736,269,24,26,,
T,2021-01-12 22:57:02,50.84748663,5.70340838,6,80.897,,1.996,259,26,29,,
T,2021-01-12 22:57:03,50.84748063,5.70337305,3,80.937,,2.215,259,29,31,,
T,2021-01-12 22:57:04,50.84747563,5.70333354,3,80.977,,2.335,266,26,29,,
T,2021-01-12 22:57:05,50.84747204,5.70329096,3,81.013,,2.408,267,27,29,,
T,2021-01-12 22:57:06,50.84747042,5.70325228,3,81.028,,2.461,275,26,28,,
T,2021-01-12 22:57:07,50.84747146,5.70321094,3,81.043,,2.502,272,26,28,,
T,2021-01-12 22:57:08,50.84747135,5.70316944,3,81.071,,2.534,247,25,29,,
T,2021-01-12 22:57:09,50.84745893,5.70312751,3,81.113,,2.551,227,27,30,,
T,2021-01-12 22:57:10,50.84743978,5.70309499,3,81.161,,2.550,229,27,30,,
T,2021-01-12 22:57:11,50.84742509,5.70306566,3,81.207,,2.538,227,26,28,,
T,2021-01-12 22:57:12,50.84740851,5.70303771,3,81.256,,2.530,216,28,30,,
T,2021-01-12 22:57:13,50.84738866,5.70301527,3,81.306,,2.534,215,29,31,,
T,2021-01-12 22:57:14,50.84736613,5.70299142,3,81.355,,2.578,208,28,30,,
T,2021-01-12 22:57:16,50.84730187,5.70294656,3,81.446,,2.704,201,28,31,,
T,2021-01-12 22:57:17,50.84727343,5.70292962,3,81.492,,2.739,201,27,31,,
T,2021-01-12 22:57:18,50.84724632,5.70291518,3,81.541,,2.775,193,27,31,,
T,2021-01-12 22:57:19,50.84721682,5.70290548,3,81.591,,2.820,185,28,30,,
T,2021-01-12 22:57:20,50.84718364,5.70290189,3,81.650,,2.862,173,29,31,,
T,2021-01-12 22:57:21,50.84715277,5.70290730,3,81.708,,2.886,175,27,30,,
T,2021-01-12 22:57:22,50.84712433,5.70291049,3,81.768,,2.909,179,26,31,,
T,2021-01-12 22:57:23,50.84709405,5.70291073,3,81.828,,2.943,179,26,31,,
T,2021-01-12 22:57:24,50.84706099,5.70291114,3,81.887,,2.978,180,27,29,,
T,2021-01-12 22:57:25,50.84702681,5.70291041,3,81.945,,3.025,184,29,31,,
T,2021-01-12 22:57:26,50.84699307,5.70290634,3,82.003,,3.045,192,25,28,,
T,2021-01-12 22:57:27,50.84696270,5.70289762,3,82.061,,3.062,206,28,30,,
T,2021-01-12 22:57:28,50.84693480,5.70288062,3,82.120,,3.091,205,29,31,,
T,2021-01-12 22:57:29,50.84690254,5.70286028,3,82.181,,3.122,207,29,31,,
T,2021-01-12 22:57:30,50.84686972,5.70283390,3,82.244,,3.132,213,26,29,,
T,2021-01-12 22:57:31,50.84684079,5.70281572,3,82.304,,3.133,211,28,30,,
T,2021-01-12 22:57:32,50.84681311,5.70279421,3,82.365,,3.119,217,27,31,,
T,2021-01-12 22:57:33,50.84678802,5.70277422,3,82.427,,3.099,225,29,30,,
T,2021-01-12 22:57:34,50.84676042,5.70274627,3,82.487,,3.088,216,29,30,,
T,2021-01-12 22:57:35,50.84672843,5.70271669,4,82.549,,3.080,213,27,28,,
T,2021-01-12 22:57:36,50.84669874,5.70269669,4,82.611,,3.087,216,27,28,,
T,2021-01-12 22:57:37,50.84666974,5.70267376,4,82.674,,3.101,219,27,29,,
T,2021-01-12 22:57:38,50.84663960,5.70264365,4,82.738,,3.106,217,27,29,,
T,2021-01-12 22:57:39,50.84660654,5.70261063,4,82.802,,3.108,230,28,30,,
T,2021-01-12 22:57:40,50.84657869,5.70256513,4,82.863,,3.107,250,28,30,,
T,2021-01-12 22:57:41,50.84656370,5.70251977,4,82.925,,3.092,252,26,27,,
T,2021-01-12 22:57:42,50.84654314,5.70247153,4,82.983,,3.056,233,28,29,,
T,2021-01-12 22:57:43,50.84651790,5.70243248,4,83.043,,3.000,235,28,29,,
T,2021-01-12 22:57:44,50.84649323,5.70239368,4,83.102,,2.959,245,25,28,,
T,2021-01-12 22:57:45,50.84647314,5.70234864,4,83.159,,2.937,241,25,28,,
T,2021-01-12 22:57:46,50.84645229,5.70230068,4,83.214,,2.922,233,25,28,,
T,2021-01-12 22:57:47,50.84642709,5.70225816,4,83.270,,2.914,215,28,29,,
T,2021-01-12 22:57:48,50.84640037,5.70222642,4,83.327,,2.890,228,27,29,,
T,2021-01-12 22:57:49,50.84637517,5.70217019,4,83.387,,2.858,238,27,29,,
T,2021-01-12 22:57:50,50.84636451,5.70210870,4,83.448,,2.826,242,27,29,,
T,2021-01-12 22:57:51,50.84635538,5.70206251,4,83.514,,2.807,249,27,28,,
T,2021-01-12 22:57:52,50.84634184,5.70201439,4,83.589,,2.801,256,27,28,,
T,2021-01-12 22:57:53,50.84633355,5.70196218,4,83.667,,2.823,244,27,28,,
T,2021-01-12 22:57:54,50.84631934,5.70191120,4,83.749,,2.842,241,28,29,,
T,2021-01-12 22:57:55,50.84630340,5.70186871,4,83.834,,2.877,229,28,29,,
T,2021-01-12 22:57:56,50.84628011,5.70182308,4,83.920,,2.913,224,28,29,,
T,2021-01-12 22:57:57,50.84625496,5.70178478,4,84.009,,2.932,212,28,30,,
T,2021-01-12 22:57:58,50.84623176,5.70176013,4,84.101,,2.913,202,29,30,,
T,2021-01-12 22:57:59,50.84621366,5.70174796,3,84.193,,2.894,196,29,30,,
T,2021-01-12 22:58:00,50.84618601,5.70173227,3,84.283,,2.867,192,28,30,,
T,2021-01-12 22:58:01,50.84615802,5.70171990,3,84.369,,2.835,182,28,30,,
T,2021-01-12 22:58:02,50.84612878,5.70171488,3,84.455,,2.797,179,28,30,,
T,2021-01-12 22:58:03,50.84610306,5.70171064,3,84.540,,2.754,185,30,31,,
T,2021-01-12 22:58:04,50.84607911,5.70170316,3,84.625,,2.659,182,30,31,,
T,2021-01-12 22:58:06,50.84606162,5.70169477,3,84.796,,0.961,177,28,29,,
T,2021-01-12 22:58:11,50.84605979,5.70165499,3,85.084,,0.366,177,28,29,,
T,2021-01-12 22:58:14,50.84606279,5.70162506,3,85.276,,0.323,33,28,30,,
T,2021-01-12 22:58:16,50.84608181,5.70161710,3,85.470,,0.961,0,30,31,,
T,2021-01-12 22:58:17,50.84610341,5.70161002,3,85.572,,1.426,340,28,29,,
T,2021-01-12 22:58:18,50.84612483,5.70159774,3,85.677,,1.703,340,28,30,,
T,2021-01-12 22:58:19,50.84614705,5.70158492,4,85.783,,1.838,340,29,30,,
T,2021-01-12 22:58:20,50.84616940,5.70157189,4,85.889,,1.952,353,27,29,,
T,2021-01-12 22:58:21,50.84619269,5.70156828,4,85.996,,2.040,353,27,29,,
T,2021-01-12 22:58:22,50.84621759,5.70156194,4,86.102,,2.095,354,27,29,,
T,2021-01-12 22:58:23,50.84624616,5.70155133,4,86.208,,2.110,334,28,29,,
T,2021-01-12 22:58:24,50.84626695,5.70153487,4,86.314,,2.107,325,29,30,,
T,2021-01-12 22:58:26,50.84629426,5.70150613,4,86.534,,2.095,294,29,30,,
T,2021-01-12 22:58:27,50.84630478,5.70147148,3,86.646,,2.145,272,30,31,,
T,2021-01-12 22:58:28,50.84630895,5.70142115,3,86.760,,2.242,260,27,29,,
T,2021-01-12 22:58:29,50.84630624,5.70136817,3,86.875,,2.367,265,28,29,,
T,2021-01-12 22:58:30,50.84630407,5.70130904,3,86.992,,2.502,265,28,29,,
T,2021-01-12 22:58:31,50.84630325,5.70125596,3,87.110,,2.642,277,24,27,,
T,2021-01-12 22:58:32,50.84631242,5.70119311,3,88.291,,2.788,277,24,26,,
T,2021-01-12 22:58:33,50.84631789,5.70113330,3,88.387,,2.919,277,27,29,,
T,2021-01-12 22:58:34,50.84632634,5.70107382,3,88.485,,3.029,278,26,27,,
T,2021-01-12 22:58:35,50.84633583,5.70101575,3,88.585,,3.115,285,26,28,,
